,make,model,engine_size,transmission,cylinders,fuel_consumption_city,fuel_consumption_hwy,fuel_consumption_comb,emissions
1130,FORD,F-150 4X4 (LT Tire Pkg),2.7,AS6,6.0,13.5,11.2,12.5,293.0
1131,FORD,F-150 4X4 (LT Tire Pkg),3.0,AS10,6.0,11.8,9.3,10.7,287.5
1132,FORD,F-150 4X4 (LT Tire Pkg),3.3,AS6,6.0,13.8,10.7,12.4,291.0
1133,FORD,F-150 4X4 (LT Tire Pkg),3.5,AS10,6.0,14.233333333333334,10.666666666666666,12.633333333333333,296.0
1134,FORD,F-150 4X4 (LT Tire Pkg),5.0,AS10,8.0,14.7,11.8,13.8,324.0
1135,FORD,F-150 4X4 (Payload Pkg),2.7,AS10,6.0,13.1,10.0,11.7,274.5
1136,FORD,F-150 4X4 (Payload Pkg),2.7,AS6,6.0,13.3,10.7,12.3,288.0
1137,FORD,F-150 4X4 (Payload Pkg),3.5,AS10,6.0,14.4,11.133333333333333,12.933333333333332,303.6666666666667
1138,FORD,F-150 4X4 (Payload Pkg),3.5,AS6,6.0,15.6,11.7,13.8,324.0
1139,FORD,F-150 4X4 (Payload Pkg),5.0,AS10,8.0,15.7,12.4,14.2,334.0
1140,FORD,F-150 4X4 Limited,3.5,AS10,6.0,13.8,11.2,12.6,296.0
1141,FORD,F-150 4X4 XL/XLT,3.0,AS10,6.0,11.233333333333334,8.4,9.933333333333334,267.3333333333333
1142,FORD,F-150 FFV,3.3,AS6,6.0,14.449999999999998,10.966666666666667,12.866666666666667,251.16666666666666
1143,FORD,F-150 FFV,3.5,A6,6.0,15.549999999999997,11.350000000000001,13.649999999999999,263.0
1144,FORD,F-150 FFV,3.7,A6,6.0,16.4,12.0,14.4,273.5
1145,FORD,F-150 FFV,3.7,AS6,6.0,16.4,12.0,14.4,273.5
1146,FORD,F-150 FFV,5.0,A6,8.0,19.25,14.5,17.15,325.5
1147,FORD,F-150 FFV,5.0,AS10,8.0,17.099999999999998,12.299999999999999,14.9,290.1666666666667
1148,FORD,F-150 FFV,5.0,AS6,8.0,18.3125,12.962499999999999,15.925,305.625
1149,FORD,F-150 FFV (LT Tire Pkg),3.3,AS6,6.0,14.575,11.225,13.049999999999999,255.25
1150,FORD,F-150 FFV (LT Tire Pkg),5.0,AS10,8.0,17.383333333333333,12.75,15.299999999999999,298.6666666666667
1151,FORD,F-150 FFV (Payload Pkg),5.0,AS10,8.0,17.666666666666668,13.200000000000001,15.700000000000001,307.8333333333333
1152,FORD,F-150 FFV (Payload Pkg),5.0,AS6,8.0,18.675,13.05,16.125,316.25
1153,FORD,F-150 FFV 4X4,3.3,AS6,6.0,15.216666666666669,11.983333333333333,13.750000000000002,268.5
1154,FORD,F-150 FFV 4X4,3.5,A6,6.0,16.483333333333334,12.416666666666666,14.666666666666666,283.0
1155,FORD,F-150 FFV 4X4,3.7,A6,6.0,17.6,13.350000000000001,15.7,298.0
1156,FORD,F-150 FFV 4X4,3.7,AS6,6.0,17.6,13.350000000000001,15.7,298.0
1157,FORD,F-150 FFV 4X4,5.0,A6,8.0,19.6,14.8,17.45,331.5
1158,FORD,F-150 FFV 4X4,5.0,AS10,8.0,17.599999999999998,13.25,15.649999999999999,306.0
1159,FORD,F-150 FFV 4X4,5.0,AS6,8.0,18.975,13.575,16.525,316.875
1160,FORD,F-150 FFV 4X4 (LT Tire Pkg),3.3,AS6,6.0,15.65,12.2,14.100000000000001,276.75
1161,FORD,F-150 FFV 4X4 (LT Tire Pkg),5.0,AS10,8.0,17.7,13.700000000000001,15.925,312.5
1162,FORD,F-150 FFV 4X4 (LT Tire Pkg),5.0,AS6,8.0,18.75,13.45,16.35,318.0
1163,FORD,F-150 FFV 4X4 (Payload Pkg),5.0,AS10,8.0,18.9,14.8,17.075,333.5
1164,FORD,F-150 FFV 4X4 (Payload Pkg),5.0,AS6,8.0,19.400000000000002,14.15,17.0,332.5
1165,FORD,F-150 RAPTOR 4WD,3.5,AS10,6.0,15.6,13.2,14.5,339.0
1166,FORD,F-150 RAPTOR 4X4,3.5,AS10,6.0,15.6,13.2,14.5,339.0
1167,FORD,F-150 RAPTOR 4X4,6.2,AS6,8.0,20.4,15.0,18.0,414.0
1168,FORD,F-150 Raptor 4X4,3.5,AS10,6.0,15.3,13.1,14.3,336.0
1169,FORD,FIESTA,1.6,AM6,4.0,8.6,6.4,7.6,179.0
1170,FORD,FIESTA,1.6,AS6,4.0,8.625,6.425000000000001,7.6,177.0
1171,FORD,FIESTA,1.6,M5,4.0,8.56,6.56,7.68,178.6
1172,FORD,FIESTA SFE,1.0,M5,3.25,7.525,5.55,6.6499999999999995,153.75
1173,FORD,FIESTA SFE,1.6,AS6,4.0,8.2,6.0,7.2,165.5
1174,FORD,FIESTA ST,1.6,M6,4.0,8.959999999999999,6.9799999999999995,8.1,188.6
1175,FORD,FLEX,3.5,AS6,6.0,14.120000000000001,9.9,12.24,285.0
1176,FORD,FLEX AWD,3.5,AS6,6.0,14.3,10.479999999999999,12.58,293.0
1177,FORD,FLEX AWD (EcoBoost),3.5,AS6,6.0,14.7,10.4,12.8,294.0
1178,FORD,FLEX AWD GTDI,3.5,AS6,6.0,15.699999999999998,11.199999999999998,13.699999999999998,321.6666666666667
1179,FORD,FOCUS,1.0,AS6,3.0,8.5,6.050000000000001,7.4,173.5
1180,FORD,FOCUS,1.0,M6,3.0,7.933333333333333,5.833333333333333,6.966666666666666,162.33333333333334
1181,FORD,FOCUS,2.0,AM6,4.0,8.9,6.1,7.7,179.0
1182,FORD,FOCUS,2.0,AS6,4.0,9.8,7.0,8.5,200.0
1183,FORD,FOCUS,2.0,M5,4.0,9.5,6.9,8.3,196.0
